"","Year","Country","TRADE","MARKUP","GINI","TOP1","TOP10","T10B50","UNEMP","rGDP","GDPg","GSPEND","nGOV","INF","TRADE_IV","ADVANCED"
"1",1980,"Argentina",11.54567246,NA,0.64206120371282,0.1427,0.4958,26.5854873657227,2.3,317197374102.039,1.45316999977434,72885019152.7514,1.33752950396586,NA,15.1511992122086,0
"2",1980,"Australia",32.29875494,0.99401796,0.420028090529942,0.0547,0.2485,6.35618162155151,6.105,418362713653.54,3.33986584500625,81630810882.6702,4.54231254428256,10.136,25.2072347063603,1
"3",1980,"Austria",66.82500562,0.91905874,0.442886203099429,0.1161,0.3425,7.84749889373779,1.9,192589653502.591,1.73148559549916,41409891753.3464,2.00092844841506,6.325,70.5055069094858,1
"4",1980,"Belgium",103.0554478,1.0269524,0.423229076639561,0.0835,0.3166,7.03622674942017,9.1,240423139385.648,4.47950122123147,67592230174.3249,1.93659830349772,6.656,121.897515306718,1
"5",1980,"Brazil",20.15540749,1.6223694,0.68207633648589,0.2091,0.581,31.2195224761963,NA,793655578324.917,9.2299999999847,191307141315.646,5.8073281803249,90.227,10.960574139814,0
"6",1980,"Canada",53.31797572,0.92710769,0.420358685850105,0.076,0.3003,6.83432817459106,7.537,676841569321.698,2.15553738618195,186468544881.537,2.66326460244121,10.183,48.1032650706065,1
"7",1980,"Chile",48.12002803,NA,0.722192479428038,0.2587,0.6248,41.2248916625977,10.46,54225819737.7215,7.94497148635506,11739820063.5939,-8.09837541432575,35.138,48.2481974772622,0
"8",1980,"China",21.57917873,NA,0.382153221208341,0.0657,0.2789,5.58247995376587,4.9,422774243039.339,7.83279010814547,65270484118.6322,1.1270429870172,NA,29.7829902807518,0
"9",1980,"Colombia",31.81498673,NA,0.717738044762833,0.2407,0.6078,42.9687004089355,9.1,86536388954.3168,4.08735367309507,5913911576.0137,12.6668324629004,25.932,20.662864588168,0
"10",1980,"Denmark",65.45594792,0.89240128,0.340185766757648,0.0666,0.2428,4.47392177581787,7,164314130434.015,-0.482986397905792,46546492345.0318,3.26086779968887,11.339,69.5299942587025,1
"11",1980,"Finland",62.9467867,0.91250134,0.397996615146802,0.0674,0.2863,6.49471616744995,4.86,114288222469.859,5.3890478802278,30781039373.778,4.64125081471738,11.602,55.5449213836793,1
"12",1980,"France",43.50288864,0.96840924,0.429287619771227,0.0832,0.3127,7.19195938110352,6.42,1299731076917.32,1.57874527928074,297298976920.203,3.14308011086893,13.057,37.6577384649911,1
"13",1980,"Germany",41.85407079,1.0653025,0.419127124758546,0.0877,0.3019,6.73133945465088,NA,1859866610705.5,1.40882863572149,386650758026.514,3.47391756656444,5.447,47.0678546119836,1
"14",1980,"Greece",44.58581614,1.0653025,0.477561959803692,0.1098,0.3745,9.48484992980957,NA,147901264971.906,0.677130352001664,28211598932.8126,0.203398721172985,24.873,40.0289468248033,1
"15",1980,"Hong Kong",178.0070882,NA,0.525696246654194,0.1333,0.4197,11.8203363418579,2.4,63557494157.7975,10.1081383964091,7203576078.19281,7.70273359678631,4.444,277.358011539701,1
"16",1980,"India",15.38457685,NA,0.440476678960245,0.0754,0.3236,7.63103294372559,NA,276503088377.602,6.73582152800052,29095362368.0528,4.63995203432634,11.346,24.3809728364477,0
"17",1980,"Indonesia",52.65404648,NA,0.530925299430479,0.1479,0.4124,12.5303258895874,1.66,142125252536.76,9.87702902115164,17385278324.0024,10.7806691449815,18.017,42.223566744458,0
"18",1980,"Ireland",102.303118,1.1574855,0.420077271233858,0.1021,0.3183,6.99509954452515,NA,56812331042.0039,3.07932986223546,16810840030.9443,7.09304350215925,18.345,138.81613848481,1
"19",1980,"Italy",42.97265632,0.99150419,0.428893110923836,0.0619,0.2839,6.67317152023315,7.53,1229496289796.81,3.43001641442258,244899481282.87,2.62548263230145,21.8,34.7251038278717,1
"20",1980,"Japan",26.6493645,1.0264043,0.475132270400959,0.1067,0.3592,9.29393768310547,2,2259668679046.69,2.81759120776378,369099878755.119,3.11185124143281,7.808,12.0467899043151,1
"21",1980,"Malaysia",112.5872289,1.3006675,0.588604283791611,0.2013,0.4748,17.1694469451904,1.661,42149303455.0164,7.44424060989276,5384802661.28482,25.1008878158249,6.724,145.071665967161,0
"22",1980,"Mexico",22.43461965,1.3788142,0.697812403863175,0.1171,0.5484,43.9169998168945,NA,552499389833.448,8.32411389057016,70208815530.3254,9.53302247165906,26.471,35.5162663287109,0
"23",1980,"Netherlands",99.8291444,1.0538882,0.387671790630935,0.0659,0.2827,5.65840148925781,NA,372919171438.097,3.25100416927059,90995895891.3362,8.90111199196364,NA,107.11959723677,1
"24",1980,"New Zealand",58.69384705,0.97937769,0.475727566648703,0.0619,0.2916,9.01535415649414,NA,73267625671.4227,1.28428267191334,15369836524.6241,0.917604662150647,17.079,44.1643974804664,1
"25",1980,"Norway",78.08714995,0.86317563,0.377142352046384,0.076,0.273,5.43171358108521,1.65,164314436292.239,4.56424298858919,36316957734.8352,4.36465230313094,10.912,56.8160964796588,1
"26",1980,"Pakistan",35.89689938,NA,0.545353493337366,0.1573,0.4394,13.5185098648071,4.01,54207997410.3241,8.70013952332513,4138429297.07746,4.46690577124068,11.927,20.5409496440424,0
"27",1980,"Peru",47.64339805,NA,0.681778376761645,0.209,0.5498,35.2181358337402,6.97,65927091478.5157,5.94333539830842,10137104647.3091,24.2231239406236,59.145,29.4255586101101,0
"28",1980,"Philippines",NA,NA,0.60398627717192,0.1957,0.4942,18.9297847747803,4.75,89724981495.0149,5.20071107979947,12395996730.7209,3.74007608328328,18.201,48.1707239915189,0
